Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.00,   4.00,  43.25,  32.74,  54.11
2012.00,   5.00,  84.93,  73.27,  96.28
2012.00,   6.00,  95.06,  84.08, 106.61
2012.00,   7.00,  72.23,  60.63,  83.40
2012.00,   8.00,  45.86,  35.00,  57.32
2012.00,   9.00,  60.76,  49.51,  72.01
2012.00,  10.00, 100.73,  88.34, 112.98
2012.00,  11.00,  52.77,  41.40,  63.61
2012.00,  12.00,  34.37,  24.94,  44.91
2013.00,   1.00,  55.87,  45.38,  66.70
2013.00,   2.00,  40.77,  30.28,  51.25
2013.00,   3.00,  48.61,  37.69,  59.57
2013.00,   4.00, 100.51,  89.77, 111.57
2013.00,   5.00,  99.95,  89.45, 110.42
2013.00,   6.00,  76.68,  66.44,  87.92
2013.00,   7.00, 141.47, 130.20, 153.21
2013.00,   8.00,  75.93,  65.14,  87.65
2013.00,   9.00,  73.41,  62.53,  85.13
2013.00,  10.00,  73.82,  62.42,  85.62
2013.00,  11.00,  80.06,  69.05,  91.13
2013.00,  12.00,  68.92,  58.13,  80.23
2014.00,   1.00,  60.32,  49.37,  70.98
2014.00,   2.00,  34.79,  25.13,  44.80
2014.00,   3.00,  38.56,  28.07,  48.71
2014.00,   4.00,  95.58,  84.45, 107.34
2014.00,   5.00,  83.70,  73.39,  94.43
2014.00,   6.00,  94.97,  84.43, 105.77
2014.00,   7.00,  82.38,  71.24,  93.62
2014.00,   8.00,  79.35,  67.46,  90.92
2014.00,   9.00,  97.12,  85.76, 108.34
2014.00,  10.00,  91.79,  80.45, 104.07
2014.00,  11.00,  84.41,  73.14,  95.38
2014.00,  12.00,  53.44,  43.15,  63.84
2015.00,   1.00,  44.24,  33.84,  54.09
2015.00,   2.00,  25.96,  16.30,  35.99
2015.00,   3.00,  33.24,  22.92,  43.96
2015.00,   4.00,  46.06,  35.86,  56.36
2015.00,   5.00,  94.05,  83.32, 105.00
2015.00,   6.00,  81.43,  70.74,  92.56
2015.00,   7.00,  58.12,  47.23,  69.13
2015.00,   8.00,  71.19,  59.74,  82.48
2015.00,   9.00,  64.87,  53.87,  76.08
2015.00,  10.00,  58.51,  47.22,  69.60
2015.00,  11.00,  83.51,  72.55,  95.04
2015.00,  12.00, 100.58,  90.04, 111.22
2016.00,   1.00,  57.34,  44.87,  69.81
2016.00,   2.00,  49.39,  37.19,  61.20
2016.00,   3.00,  54.54,  42.56,  67.14
2016.00,   4.00,  41.13,  29.36,  53.06
2016.00,   5.00,  60.62,  49.20,  72.37
2016.00,   6.00, 105.86,  94.36, 117.42
2016.00,   7.00,  91.33,  79.76, 103.05
2016.00,   8.00,  91.83,  80.30, 103.94
2016.00,   9.00, 120.51, 108.67, 132.99
2016.00,  10.00,  64.40,  51.91,  76.84
2016.00,  11.00,  63.50,  52.55,  74.57
2016.00,  12.00,  79.68,  68.78,  90.91
2017.00,   1.00,  61.14,  50.61,  72.47
2017.00,   2.00,  62.30,  51.60,  73.81
2017.00,   3.00,  42.75,  32.46,  53.76
2017.00,   4.00,  95.70,  84.69, 107.06
2017.00,   5.00,  91.61,  80.47, 102.77
2017.00,   6.00, 107.13,  95.89, 118.28
2017.00,   7.00,  71.26,  60.13,  82.87
2017.00,   8.00, 118.56, 107.30, 130.35
2017.00,   9.00, 104.06,  92.86, 115.52
2017.00,  10.00, 133.92, 122.02, 146.20
2017.00,  11.00,  63.67,  52.57,  75.52
2017.00,  12.00,  84.21,  73.03,  95.50
2018.00,   1.00,  53.12,  42.38,  63.86
2018.00,   2.00,  42.22,  31.94,  52.93
2018.00,   3.00,  15.53,   7.64,  24.80
2018.00,   4.00,  32.73,  22.60,  43.37
2018.00,   5.00,  61.92,  51.54,  73.56
2018.00,   6.00,  80.42,  68.75,  91.57
2018.00,   7.00,  80.93,  70.03,  92.62
2018.00,   8.00,  80.72,  69.46,  91.93
2018.00,   9.00, 132.51, 121.18, 144.33
2018.00,  10.00, 149.47, 137.66, 161.25
2018.00,  11.00,  73.59,  62.40,  85.19
2018.00,  12.00,  44.89,  34.67,  55.40
2019.00,   1.00,  64.44,  54.19,  75.60
2019.00,   2.00,  86.53,  75.30,  97.34
2019.00,   3.00,  44.31,  34.01,  55.20
2019.00,   4.00,  94.21,  83.28, 104.95
2019.00,   5.00,  87.06,  76.01,  97.98
2019.00,   6.00,  63.35,  52.56,  74.37
2019.00,   7.00,  72.12,  60.92,  83.81
2019.00,   8.00,  71.97,  60.60,  83.05
2019.00,   9.00, 121.69, 109.78, 133.31
2019.00,  10.00, 105.12,  93.07, 116.48
2019.00,  11.00,  73.85,  62.52,  84.89
2019.00,  12.00,  86.66,  75.83,  97.42
2020.00,   1.00,  60.35,  50.00,  71.23
2020.00,   2.00,  22.86,  13.63,  32.55
2020.00,   3.00,  68.94,  57.61,  80.27
2020.00,   4.00,  44.06,  33.35,  55.30
2020.00,   5.00,  46.66,  35.98,  57.29
2020.00,   6.00,  72.40,  61.34,  83.43
2020.00,   7.00, 101.70,  90.23, 113.32
2020.00,   8.00,  88.11,  76.49,  99.50
2020.00,   9.00,  84.97,  73.43,  96.84
2020.00,  10.00,  92.45,  81.15, 104.31
2020.00,  11.00,  63.85,  52.63,  74.64
2020.00,  12.00,  36.47,  26.44,  46.56
2021.00,   1.00,  26.37,  17.57,  36.02
2021.00,   2.00,  33.55,  23.72,  43.93
2021.00,   3.00,  51.06,  40.59,  61.46
2021.00,   4.00,  65.16,  54.29,  76.51
2021.00,   5.00,  39.30,  28.79,  49.99
2021.00,   6.00,  68.38,  57.16,  79.85
2021.00,   7.00,  44.84,  34.05,  56.49
