Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  69.9,  60.5,  79.5
2012.0,   5.0,  71.5,  61.6,  80.9
2012.0,   6.0,  76.6,  68.0,  85.3
2012.0,   7.0,  44.5,  37.9,  51.6
2012.0,   8.0,  33.0,  27.8,  38.5
2012.0,   9.0,  28.8,  22.9,  35.1
2012.0,  10.0,  37.4,  29.2,  46.7
2012.0,  11.0,  40.7,  32.6,  48.8
2012.0,  12.0,  36.0,  29.1,  43.5
2013.0,   1.0,  31.3,  25.1,  37.6
2013.0,   2.0,  25.0,  19.3,  31.3
2013.0,   3.0,  24.8,  18.4,  32.7
2013.0,   4.0,  56.6,  47.6,  65.7
2013.0,   5.0, 157.8, 146.2, 169.9
2013.0,   6.0,  75.9,  67.2,  84.4
2013.0,   7.0,  54.1,  46.8,  62.2
2013.0,   8.0,  42.1,  35.6,  48.8
2013.0,   9.0,  43.2,  35.8,  51.7
2013.0,  10.0,  47.9,  38.9,  56.7
2013.0,  11.0,  55.7,  46.6,  64.7
2013.0,  12.0,  38.2,  30.9,  45.6
2014.0,   1.0,  28.5,  22.8,  34.5
2014.0,   2.0,  23.8,  18.3,  30.1
2014.0,   3.0,  24.5,  17.8,  32.2
2014.0,   4.0,  74.8,  65.1,  84.6
2014.0,   5.0, 146.9, 136.4, 158.5
2014.0,   6.0,  81.2,  72.9,  89.4
2014.0,   7.0,  50.6,  43.6,  58.0
2014.0,   8.0,  37.1,  31.4,  43.1
2014.0,   9.0,  46.3,  38.6,  54.3
2014.0,  10.0,  62.8,  53.3,  71.9
2014.0,  11.0,  46.9,  38.4,  55.9
2014.0,  12.0,  40.0,  32.6,  47.8
2015.0,   1.0,  31.4,  25.6,  38.1
2015.0,   2.0,  24.3,  18.7,  30.5
2015.0,   3.0,  36.3,  27.9,  44.9
2015.0,   4.0,  85.0,  75.3,  94.4
2015.0,   5.0,  91.4,  81.3, 101.1
2015.0,   6.0,  61.0,  53.6,  69.2
2015.0,   7.0,  46.5,  40.0,  53.6
2015.0,   8.0,  36.3,  30.8,  42.4
2015.0,   9.0,  35.9,  28.9,  43.0
